ProblemID,Replication,Seed,Mining,Family,Got,Expected,Pass
Ta20_5_1,4,210504237,Elite-only,NEH,1302,1302,True
Ta20_5_1,4,210504237,Elite-only,NEH-TBKK2,1301,1301,True
Ta20_5_1,4,210504237,Elite-only,KK2-style-NEH,1323,1323,True
Ta20_5_1,4,210504237,Elite-only,FRB4-p1,1286,1286,True
Ta20_5_1,4,210504237,Elite-only,INEH-inspired,1282,1282,True
Ta20_5_1,4,210504237,Contrast,NEH,1302,1302,True
Ta20_5_1,4,210504237,Contrast,NEH-TBKK2,1301,1301,True
Ta20_5_1,4,210504237,Contrast,KK2-style-NEH,1323,1323,True
Ta20_5_1,4,210504237,Contrast,FRB4-p1,1287,1287,True
Ta20_5_1,4,210504237,Contrast,INEH-inspired,1292,1292,True
Ta20_5_1,5,210505246,Elite-only,NEH,1302,1302,True
Ta20_5_1,5,210505246,Elite-only,NEH-TBKK2,1301,1301,True
Ta20_5_1,5,210505246,Elite-only,KK2-style-NEH,1297,1297,True
Ta20_5_1,5,210505246,Elite-only,FRB4-p1,1287,1287,True
Ta20_5_1,5,210505246,Elite-only,INEH-inspired,1289,1289,True
Ta20_5_1,5,210505246,Contrast,NEH,1302,1302,True
Ta20_5_1,5,210505246,Contrast,NEH-TBKK2,1301,1301,True
Ta20_5_1,5,210505246,Contrast,KK2-style-NEH,1323,1323,True
Ta20_5_1,5,210505246,Contrast,FRB4-p1,1287,1287,True
Ta20_5_1,5,210505246,Contrast,INEH-inspired,1292,1292,True
Ta20_5_2,1,210601210,Elite-only,NEH,1365,1365,True
Ta20_5_2,1,210601210,Elite-only,NEH-TBKK2,1365,1365,True
Ta20_5_2,1,210601210,Elite-only,KK2-style-NEH,1365,1365,True
Ta20_5_2,1,210601210,Elite-only,FRB4-p1,1365,1365,True
Ta20_5_2,1,210601210,Elite-only,INEH-inspired,1383,1383,True
Ta20_5_2,1,210601210,Contrast,NEH,1365,1365,True
Ta20_5_2,1,210601210,Contrast,NEH-TBKK2,1365,1365,True
Ta20_5_2,1,210601210,Contrast,KK2-style-NEH,1365,1365,True
Ta20_5_2,1,210601210,Contrast,FRB4-p1,1365,1365,True
Ta20_5_2,1,210601210,Contrast,INEH-inspired,1365,1365,True
Ta20_5_2,2,210602219,Elite-only,NEH,1365,1365,True
Ta20_5_2,2,210602219,Elite-only,NEH-TBKK2,1365,1365,True
Ta20_5_2,2,210602219,Elite-only,KK2-style-NEH,1365,1365,True
Ta20_5_2,2,210602219,Elite-only,FRB4-p1,1365,1365,True
Ta20_5_2,2,210602219,Elite-only,INEH-inspired,1365,1365,True
Ta20_5_2,2,210602219,Contrast,NEH,1365,1365,True
Ta20_5_2,2,210602219,Contrast,NEH-TBKK2,1365,1365,True
Ta20_5_2,2,210602219,Contrast,KK2-style-NEH,1365,1365,True
Ta20_5_2,2,210602219,Contrast,FRB4-p1,1365,1365,True
Ta20_5_2,2,210602219,Contrast,INEH-inspired,1365,1365,True
Ta20_5_2,3,210603228,Elite-only,NEH,1365,1365,True
Ta20_5_2,3,210603228,Elite-only,NEH-TBKK2,1365,1365,True
Ta20_5_2,3,210603228,Elite-only,KK2-style-NEH,1365,1365,True
Ta20_5_2,3,210603228,Elite-only,FRB4-p1,1365,1365,True
Ta20_5_2,3,210603228,Elite-only,INEH-inspired,1365,1365,True
Ta20_5_2,3,210603228,Contrast,NEH,1365,1365,True
Ta20_5_2,3,210603228,Contrast,NEH-TBKK2,1365,1365,True
Ta20_5_2,3,210603228,Contrast,KK2-style-NEH,1365,1365,True
Ta20_5_2,3,210603228,Contrast,FRB4-p1,1365,1365,True
Ta20_5_2,3,210603228,Contrast,INEH-inspired,1365,1365,True
Ta20_5_2,4,210604237,Elite-only,NEH,1365,1365,True
Ta20_5_2,4,210604237,Elite-only,NEH-TBKK2,1365,1365,True
Ta20_5_2,4,210604237,Elite-only,KK2-style-NEH,1365,1365,True
Ta20_5_2,4,210604237,Elite-only,FRB4-p1,1365,1365,True
Ta20_5_2,4,210604237,Elite-only,INEH-inspired,1365,1365,True
Ta20_5_2,4,210604237,Contrast,NEH,1365,1365,True
Ta20_5_2,4,210604237,Contrast,NEH-TBKK2,1365,1365,True
Ta20_5_2,4,210604237,Contrast,KK2-style-NEH,1365,1365,True
Ta20_5_2,4,210604237,Contrast,FRB4-p1,1365,1365,True
Ta20_5_2,4,210604237,Contrast,INEH-inspired,1365,1365,True
Ta20_5_2,5,210605246,Elite-only,NEH,1365,1365,True
Ta20_5_2,5,210605246,Elite-only,NEH-TBKK2,1365,1365,True
Ta20_5_2,5,210605246,Elite-only,KK2-style-NEH,1365,1365,True
Ta20_5_2,5,210605246,Elite-only,FRB4-p1,1365,1365,True
Ta20_5_2,5,210605246,Elite-only,INEH-inspired,1383,1383,True
Ta20_5_2,5,210605246,Contrast,NEH,1365,1365,True
Ta20_5_2,5,210605246,Contrast,NEH-TBKK2,1365,1365,True
Ta20_5_2,5,210605246,Contrast,KK2-style-NEH,1365,1365,True
Ta20_5_2,5,210605246,Contrast,FRB4-p1,1365,1365,True
Ta20_5_2,5,210605246,Contrast,INEH-inspired,1365,1365,True
Ta20_5_3,1,210701210,Elite-only,NEH,1142,1142,True
Ta20_5_3,1,210701210,Elite-only,NEH-TBKK2,1159,1159,True
Ta20_5_3,1,210701210,Elite-only,KK2-style-NEH,1121,1121,True
Ta20_5_3,1,210701210,Elite-only,FRB4-p1,1132,1132,True
Ta20_5_3,1,210701210,Elite-only,INEH-inspired,1097,1097,True
Ta20_5_3,1,210701210,Contrast,NEH,1132,1132,True
Ta20_5_3,1,210701210,Contrast,NEH-TBKK2,1132,1132,True
Ta20_5_3,1,210701210,Contrast,KK2-style-NEH,1121,1121,True
Ta20_5_3,1,210701210,Contrast,FRB4-p1,1132,1132,True
Ta20_5_3,1,210701210,Contrast,INEH-inspired,1113,1113,True
Ta20_5_3,2,210702219,Elite-only,NEH,1132,1132,True
Ta20_5_3,2,210702219,Elite-only,NEH-TBKK2,1154,1154,True
Ta20_5_3,2,210702219,Elite-only,KK2-style-NEH,1121,1121,True
Ta20_5_3,2,210702219,Elite-only,FRB4-p1,1132,1132,True
Ta20_5_3,2,210702219,Elite-only,INEH-inspired,1116,1116,True
Ta20_5_3,2,210702219,Contrast,NEH,1132,1132,True
Ta20_5_3,2,210702219,Contrast,NEH-TBKK2,1132,1132,True
Ta20_5_3,2,210702219,Contrast,KK2-style-NEH,1121,1121,True
Ta20_5_3,2,210702219,Contrast,FRB4-p1,1132,1132,True
Ta20_5_3,2,210702219,Contrast,INEH-inspired,1113,1113,True
Ta20_5_3,3,210703228,Elite-only,NEH,1140,1140,True
Ta20_5_3,3,210703228,Elite-only,NEH-TBKK2,1154,1154,True
Ta20_5_3,3,210703228,Elite-only,KK2-style-NEH,1121,1121,True
Ta20_5_3,3,210703228,Elite-only,FRB4-p1,1132,1132,True
Ta20_5_3,3,210703228,Elite-only,INEH-inspired,1116,1116,True
Ta20_5_3,3,210703228,Contrast,NEH,1132,1132,True
Ta20_5_3,3,210703228,Contrast,NEH-TBKK2,1132,1132,True
Ta20_5_3,3,210703228,Contrast,KK2-style-NEH,1100,1100,True
Ta20_5_3,3,210703228,Contrast,FRB4-p1,1140,1140,True
Ta20_5_3,3,210703228,Contrast,INEH-inspired,1113,1113,True
Ta20_5_3,4,210704237,Elite-only,NEH,1142,1142,True
Ta20_5_3,4,210704237,Elite-only,NEH-TBKK2,1159,1159,True
Ta20_5_3,4,210704237,Elite-only,KK2-style-NEH,1121,1121,True
Ta20_5_3,4,210704237,Elite-only,FRB4-p1,1132,1132,True
Ta20_5_3,4,210704237,Elite-only,INEH-inspired,1110,1110,True
Ta20_5_3,4,210704237,Contrast,NEH,1140,1140,True
Ta20_5_3,4,210704237,Contrast,NEH-TBKK2,1154,1154,True
Ta20_5_3,4,210704237,Contrast,KK2-style-NEH,1100,1100,True
Ta20_5_3,4,210704237,Contrast,FRB4-p1,1140,1140,True
Ta20_5_3,4,210704237,Contrast,INEH-inspired,1113,1113,True
Ta20_5_3,5,210705246,Elite-only,NEH,1140,1140,True
Ta20_5_3,5,210705246,Elite-only,NEH-TBKK2,1154,1154,True
Ta20_5_3,5,210705246,Elite-only,KK2-style-NEH,1121,1121,True
Ta20_5_3,5,210705246,Elite-only,FRB4-p1,1132,1132,True
Ta20_5_3,5,210705246,Elite-only,INEH-inspired,1097,1097,True
Ta20_5_3,5,210705246,Contrast,NEH,1132,1132,True
Ta20_5_3,5,210705246,Contrast,NEH-TBKK2,1132,1132,True
Ta20_5_3,5,210705246,Contrast,KK2-style-NEH,1121,1121,True
Ta20_5_3,5,210705246,Contrast,FRB4-p1,1132,1132,True
Ta20_5_3,5,210705246,Contrast,INEH-inspired,1113,1113,True
Ta20_5_4,1,210801210,Elite-only,NEH,1325,1325,True
Ta20_5_4,1,210801210,Elite-only,NEH-TBKK2,1325,1325,True
Ta20_5_4,1,210801210,Elite-only,KK2-style-NEH,1346,1346,True
Ta20_5_4,1,210801210,Elite-only,FRB4-p1,1309,1309,True
Ta20_5_4,1,210801210,Elite-only,INEH-inspired,1304,1304,True
Ta20_5_4,1,210801210,Contrast,NEH,1325,1325,True
Ta20_5_4,1,210801210,Contrast,NEH-TBKK2,1325,1325,True
Ta20_5_4,1,210801210,Contrast,KK2-style-NEH,1346,1346,True
Ta20_5_4,1,210801210,Contrast,FRB4-p1,1309,1309,True
Ta20_5_4,1,210801210,Contrast,INEH-inspired,1304,1304,True
Ta20_5_4,2,210802219,Elite-only,NEH,1325,1325,True
Ta20_5_4,2,210802219,Elite-only,NEH-TBKK2,1325,1325,True
Ta20_5_4,2,210802219,Elite-only,KK2-style-NEH,1346,1346,True
Ta20_5_4,2,210802219,Elite-only,FRB4-p1,1309,1309,True
Ta20_5_4,2,210802219,Elite-only,INEH-inspired,1304,1304,True
Ta20_5_4,2,210802219,Contrast,NEH,1325,1325,True
Ta20_5_4,2,210802219,Contrast,NEH-TBKK2,1325,1325,True
Ta20_5_4,2,210802219,Contrast,KK2-style-NEH,1346,1346,True
Ta20_5_4,2,210802219,Contrast,FRB4-p1,1309,1309,True
Ta20_5_4,2,210802219,Contrast,INEH-inspired,1304,1304,True
Ta20_5_4,3,210803228,Elite-only,NEH,1325,1325,True
Ta20_5_4,3,210803228,Elite-only,NEH-TBKK2,1325,1325,True
Ta20_5_4,3,210803228,Elite-only,KK2-style-NEH,1346,1346,True
Ta20_5_4,3,210803228,Elite-only,FRB4-p1,1309,1309,True
Ta20_5_4,3,210803228,Elite-only,INEH-inspired,1304,1304,True
Ta20_5_4,3,210803228,Contrast,NEH,1325,1325,True
Ta20_5_4,3,210803228,Contrast,NEH-TBKK2,1325,1325,True
Ta20_5_4,3,210803228,Contrast,KK2-style-NEH,1346,1346,True
Ta20_5_4,3,210803228,Contrast,FRB4-p1,1309,1309,True
Ta20_5_4,3,210803228,Contrast,INEH-inspired,1304,1304,True
Ta20_5_4,4,210804237,Elite-only,NEH,1325,1325,True
Ta20_5_4,4,210804237,Elite-only,NEH-TBKK2,1325,1325,True
Ta20_5_4,4,210804237,Elite-only,KK2-style-NEH,1346,1346,True
Ta20_5_4,4,210804237,Elite-only,FRB4-p1,1309,1309,True
Ta20_5_4,4,210804237,Elite-only,INEH-inspired,1304,1304,True
Ta20_5_4,4,210804237,Contrast,NEH,1325,1325,True
Ta20_5_4,4,210804237,Contrast,NEH-TBKK2,1325,1325,True
Ta20_5_4,4,210804237,Contrast,KK2-style-NEH,1346,1346,True
Ta20_5_4,4,210804237,Contrast,FRB4-p1,1309,1309,True
Ta20_5_4,4,210804237,Contrast,INEH-inspired,1304,1304,True
Ta20_5_4,5,210805246,Elite-only,NEH,1325,1325,True
Ta20_5_4,5,210805246,Elite-only,NEH-TBKK2,1325,1325,True
Ta20_5_4,5,210805246,Elite-only,KK2-style-NEH,1346,1346,True
Ta20_5_4,5,210805246,Elite-only,FRB4-p1,1309,1309,True
Ta20_5_4,5,210805246,Elite-only,INEH-inspired,1304,1304,True
Ta20_5_4,5,210805246,Contrast,NEH,1325,1325,True
Ta20_5_4,5,210805246,Contrast,NEH-TBKK2,1325,1325,True
Ta20_5_4,5,210805246,Contrast,KK2-style-NEH,1346,1346,True
Ta20_5_4,5,210805246,Contrast,FRB4-p1,1309,1309,True
Ta20_5_4,5,210805246,Contrast,INEH-inspired,1304,1304,True
Ta20_5_5,1,210901210,Elite-only,NEH,1305,1305,True
Ta20_5_5,1,210901210,Elite-only,NEH-TBKK2,1305,1305,True
Ta20_5_5,1,210901210,Elite-only,KK2-style-NEH,1305,1305,True
Ta20_5_5,1,210901210,Elite-only,FRB4-p1,1244,1244,True
Ta20_5_5,1,210901210,Elite-only,INEH-inspired,1258,1258,True
Ta20_5_5,1,210901210,Contrast,NEH,1305,1305,True
Ta20_5_5,1,210901210,Contrast,NEH-TBKK2,1305,1305,True
Ta20_5_5,1,210901210,Contrast,KK2-style-NEH,1305,1305,True
Ta20_5_5,1,210901210,Contrast,FRB4-p1,1244,1244,True
Ta20_5_5,1,210901210,Contrast,INEH-inspired,1258,1258,True
Ta20_5_5,2,210902219,Elite-only,NEH,1305,1305,True
Ta20_5_5,2,210902219,Elite-only,NEH-TBKK2,1305,1305,True
Ta20_5_5,2,210902219,Elite-only,KK2-style-NEH,1305,1305,True
Ta20_5_5,2,210902219,Elite-only,FRB4-p1,1244,1244,True
Ta20_5_5,2,210902219,Elite-only,INEH-inspired,1258,1258,True
Ta20_5_5,2,210902219,Contrast,NEH,1305,1305,True
Ta20_5_5,2,210902219,Contrast,NEH-TBKK2,1305,1305,True
Ta20_5_5,2,210902219,Contrast,KK2-style-NEH,1305,1305,True
Ta20_5_5,2,210902219,Contrast,FRB4-p1,1244,1244,True
Ta20_5_5,2,210902219,Contrast,INEH-inspired,1258,1258,True
Ta20_5_5,3,210903228,Elite-only,NEH,1305,1305,True
Ta20_5_5,3,210903228,Elite-only,NEH-TBKK2,1305,1305,True
Ta20_5_5,3,210903228,Elite-only,KK2-style-NEH,1305,1305,True
Ta20_5_5,3,210903228,Elite-only,FRB4-p1,1244,1244,True
Ta20_5_5,3,210903228,Elite-only,INEH-inspired,1258,1258,True
Ta20_5_5,3,210903228,Contrast,NEH,1305,1305,True
Ta20_5_5,3,210903228,Contrast,NEH-TBKK2,1305,1305,True
Ta20_5_5,3,210903228,Contrast,KK2-style-NEH,1305,1305,True
Ta20_5_5,3,210903228,Contrast,FRB4-p1,1244,1244,True
Ta20_5_5,3,210903228,Contrast,INEH-inspired,1305,1305,True
Ta20_5_5,4,210904237,Elite-only,NEH,1305,1305,True
Ta20_5_5,4,210904237,Elite-only,NEH-TBKK2,1305,1305,True
Ta20_5_5,4,210904237,Elite-only,KK2-style-NEH,1305,1305,True
Ta20_5_5,4,210904237,Elite-only,FRB4-p1,1244,1244,True
Ta20_5_5,4,210904237,Elite-only,INEH-inspired,1285,1285,True
Ta20_5_5,4,210904237,Contrast,NEH,1305,1305,True
Ta20_5_5,4,210904237,Contrast,NEH-TBKK2,1305,1305,True
Ta20_5_5,4,210904237,Contrast,KK2-style-NEH,1305,1305,True
Ta20_5_5,4,210904237,Contrast,FRB4-p1,1244,1244,True
Ta20_5_5,4,210904237,Contrast,INEH-inspired,1258,1258,True
Ta20_5_5,5,210905246,Elite-only,NEH,1305,1305,True
Ta20_5_5,5,210905246,Elite-only,NEH-TBKK2,1305,1305,True
Ta20_5_5,5,210905246,Elite-only,KK2-style-NEH,1305,1305,True
Ta20_5_5,5,210905246,Elite-only,FRB4-p1,1244,1244,True
Ta20_5_5,5,210905246,Elite-only,INEH-inspired,1258,1258,True
Ta20_5_5,5,210905246,Contrast,NEH,1305,1305,True
Ta20_5_5,5,210905246,Contrast,NEH-TBKK2,1305,1305,True
Ta20_5_5,5,210905246,Contrast,KK2-style-NEH,1305,1305,True
Ta20_5_5,5,210905246,Contrast,FRB4-p1,1244,1244,True
Ta20_5_5,5,210905246,Contrast,INEH-inspired,1258,1258,True
Ta20_5_6,1,211001210,Elite-only,NEH,1210,1210,True
Ta20_5_6,1,211001210,Elite-only,NEH-TBKK2,1210,1210,True
Ta20_5_6,1,211001210,Elite-only,KK2-style-NEH,1246,1246,True
Ta20_5_6,1,211001210,Elite-only,FRB4-p1,1210,1210,True
Ta20_5_6,1,211001210,Elite-only,INEH-inspired,1195,1195,True
Ta20_5_6,1,211001210,Contrast,NEH,1210,1210,True
Ta20_5_6,1,211001210,Contrast,NEH-TBKK2,1210,1210,True
Ta20_5_6,1,211001210,Contrast,KK2-style-NEH,1265,1265,True
Ta20_5_6,1,211001210,Contrast,FRB4-p1,1210,1210,True
Ta20_5_6,1,211001210,Contrast,INEH-inspired,1210,1210,True
Ta20_5_6,2,211002219,Elite-only,NEH,1210,1210,True
Ta20_5_6,2,211002219,Elite-only,NEH-TBKK2,1224,1224,True
Ta20_5_6,2,211002219,Elite-only,KK2-style-NEH,1287,1287,True
Ta20_5_6,2,211002219,Elite-only,FRB4-p1,1210,1210,True
Ta20_5_6,2,211002219,Elite-only,INEH-inspired,1210,1210,True
Ta20_5_6,2,211002219,Contrast,NEH,1210,1210,True
Ta20_5_6,2,211002219,Contrast,NEH-TBKK2,1224,1224,True
Ta20_5_6,2,211002219,Contrast,KK2-style-NEH,1297,1297,True
Ta20_5_6,2,211002219,Contrast,FRB4-p1,1210,1210,True
Ta20_5_6,2,211002219,Contrast,INEH-inspired,1210,1210,True
Ta20_5_6,3,211003228,Elite-only,NEH,1210,1210,True
Ta20_5_6,3,211003228,Elite-only,NEH-TBKK2,1210,1210,True
Ta20_5_6,3,211003228,Elite-only,KK2-style-NEH,1287,1287,True
Ta20_5_6,3,211003228,Elite-only,FRB4-p1,1210,1210,True
Ta20_5_6,3,211003228,Elite-only,INEH-inspired,1210,1210,True
Ta20_5_6,3,211003228,Contrast,NEH,1210,1210,True
Ta20_5_6,3,211003228,Contrast,NEH-TBKK2,1224,1224,True
Ta20_5_6,3,211003228,Contrast,KK2-style-NEH,1297,1297,True
Ta20_5_6,3,211003228,Contrast,FRB4-p1,1210,1210,True
Ta20_5_6,3,211003228,Contrast,INEH-inspired,1210,1210,True
Ta20_5_6,4,211004237,Elite-only,NEH,1210,1210,True
Ta20_5_6,4,211004237,Elite-only,NEH-TBKK2,1210,1210,True
Ta20_5_6,4,211004237,Elite-only,KK2-style-NEH,1246,1246,True
Ta20_5_6,4,211004237,Elite-only,FRB4-p1,1210,1210,True
Ta20_5_6,4,211004237,Elite-only,INEH-inspired,1210,1210,True
Ta20_5_6,4,211004237,Contrast,NEH,1210,1210,True
Ta20_5_6,4,211004237,Contrast,NEH-TBKK2,1210,1210,True
Ta20_5_6,4,211004237,Contrast,KK2-style-NEH,1297,1297,True
Ta20_5_6,4,211004237,Contrast,FRB4-p1,1210,1210,True
Ta20_5_6,4,211004237,Contrast,INEH-inspired,1210,1210,True
Ta20_5_6,5,211005246,Elite-only,NEH,1239,1239,True
Ta20_5_6,5,211005246,Elite-only,NEH-TBKK2,1239,1239,True
Ta20_5_6,5,211005246,Elite-only,KK2-style-NEH,1246,1246,True
Ta20_5_6,5,211005246,Elite-only,FRB4-p1,1210,1210,True
Ta20_5_6,5,211005246,Elite-only,INEH-inspired,1210,1210,True
Ta20_5_6,5,211005246,Contrast,NEH,1210,1210,True
Ta20_5_6,5,211005246,Contrast,NEH-TBKK2,1224,1224,True
Ta20_5_6,5,211005246,Contrast,KK2-style-NEH,1297,1297,True
Ta20_5_6,5,211005246,Contrast,FRB4-p1,1210,1210,True
Ta20_5_6,5,211005246,Contrast,INEH-inspired,1210,1210,True
Ta20_5_7,1,211101210,Elite-only,NEH,1251,1251,True
Ta20_5_7,1,211101210,Elite-only,NEH-TBKK2,1251,1251,True
Ta20_5_7,1,211101210,Elite-only,KK2-style-NEH,1263,1263,True
Ta20_5_7,1,211101210,Elite-only,FRB4-p1,1251,1251,True
Ta20_5_7,1,211101210,Elite-only,INEH-inspired,1259,1259,True
Ta20_5_7,1,211101210,Contrast,NEH,1251,1251,True
Ta20_5_7,1,211101210,Contrast,NEH-TBKK2,1251,1251,True
Ta20_5_7,1,211101210,Contrast,KK2-style-NEH,1268,1268,True
Ta20_5_7,1,211101210,Contrast,FRB4-p1,1251,1251,True
Ta20_5_7,1,211101210,Contrast,INEH-inspired,1259,1259,True
Ta20_5_7,2,211102219,Elite-only,NEH,1251,1251,True
Ta20_5_7,2,211102219,Elite-only,NEH-TBKK2,1251,1251,True
Ta20_5_7,2,211102219,Elite-only,KK2-style-NEH,1259,1259,True
Ta20_5_7,2,211102219,Elite-only,FRB4-p1,1251,1251,True
Ta20_5_7,2,211102219,Elite-only,INEH-inspired,1251,1251,True
Ta20_5_7,2,211102219,Contrast,NEH,1251,1251,True
Ta20_5_7,2,211102219,Contrast,NEH-TBKK2,1251,1251,True
Ta20_5_7,2,211102219,Contrast,KK2-style-NEH,1259,1259,True
Ta20_5_7,2,211102219,Contrast,FRB4-p1,1251,1251,True
Ta20_5_7,2,211102219,Contrast,INEH-inspired,1259,1259,True
Ta20_5_7,3,211103228,Elite-only,NEH,1251,1251,True
Ta20_5_7,3,211103228,Elite-only,NEH-TBKK2,1251,1251,True
Ta20_5_7,3,211103228,Elite-only,KK2-style-NEH,1260,1260,True
Ta20_5_7,3,211103228,Elite-only,FRB4-p1,1251,1251,True
Ta20_5_7,3,211103228,Elite-only,INEH-inspired,1259,1259,True
Ta20_5_7,3,211103228,Contrast,NEH,1251,1251,True
Ta20_5_7,3,211103228,Contrast,NEH-TBKK2,1251,1251,True
Ta20_5_7,3,211103228,Contrast,KK2-style-NEH,1259,1259,True
Ta20_5_7,3,211103228,Contrast,FRB4-p1,1251,1251,True
Ta20_5_7,3,211103228,Contrast,INEH-inspired,1251,1251,True
Ta20_5_7,4,211104237,Elite-only,NEH,1251,1251,True
Ta20_5_7,4,211104237,Elite-only,NEH-TBKK2,1251,1251,True
Ta20_5_7,4,211104237,Elite-only,KK2-style-NEH,1260,1260,True
Ta20_5_7,4,211104237,Elite-only,FRB4-p1,1251,1251,True
Ta20_5_7,4,211104237,Elite-only,INEH-inspired,1259,1259,True
Ta20_5_7,4,211104237,Contrast,NEH,1251,1251,True
Ta20_5_7,4,211104237,Contrast,NEH-TBKK2,1251,1251,True
Ta20_5_7,4,211104237,Contrast,KK2-style-NEH,1276,1276,True
Ta20_5_7,4,211104237,Contrast,FRB4-p1,1251,1251,True
Ta20_5_7,4,211104237,Contrast,INEH-inspired,1268,1268,True
Ta20_5_7,5,211105246,Elite-only,NEH,1251,1251,True
Ta20_5_7,5,211105246,Elite-only,NEH-TBKK2,1251,1251,True
Ta20_5_7,5,211105246,Elite-only,KK2-style-NEH,1268,1268,True
Ta20_5_7,5,211105246,Elite-only,FRB4-p1,1251,1251,True
Ta20_5_7,5,211105246,Elite-only,INEH-inspired,1257,1257,True
Ta20_5_7,5,211105246,Contrast,NEH,1251,1251,True
Ta20_5_7,5,211105246,Contrast,NEH-TBKK2,1251,1251,True
Ta20_5_7,5,211105246,Contrast,KK2-style-NEH,1259,1259,True
Ta20_5_7,5,211105246,Contrast,FRB4-p1,1251,1251,True
Ta20_5_7,5,211105246,Contrast,INEH-inspired,1251,1251,True
Ta20_5_8,1,211201210,Elite-only,NEH,1223,1223,True
Ta20_5_8,1,211201210,Elite-only,NEH-TBKK2,1215,1215,True
Ta20_5_8,1,211201210,Elite-only,KK2-style-NEH,1237,1237,True
Ta20_5_8,1,211201210,Elite-only,FRB4-p1,1217,1217,True
Ta20_5_8,1,211201210,Elite-only,INEH-inspired,1229,1229,True
Ta20_5_8,1,211201210,Contrast,NEH,1223,1223,True
Ta20_5_8,1,211201210,Contrast,NEH-TBKK2,1215,1215,True
Ta20_5_8,1,211201210,Contrast,KK2-style-NEH,1244,1244,True
Ta20_5_8,1,211201210,Contrast,FRB4-p1,1217,1217,True
Ta20_5_8,1,211201210,Contrast,INEH-inspired,1217,1217,True
Ta20_5_8,2,211202219,Elite-only,NEH,1223,1223,True
Ta20_5_8,2,211202219,Elite-only,NEH-TBKK2,1215,1215,True
Ta20_5_8,2,211202219,Elite-only,KK2-style-NEH,1237,1237,True
Ta20_5_8,2,211202219,Elite-only,FRB4-p1,1217,1217,True
Ta20_5_8,2,211202219,Elite-only,INEH-inspired,1235,1235,True
Ta20_5_8,2,211202219,Contrast,NEH,1223,1223,True
Ta20_5_8,2,211202219,Contrast,NEH-TBKK2,1215,1215,True
Ta20_5_8,2,211202219,Contrast,KK2-style-NEH,1237,1237,True
Ta20_5_8,2,211202219,Contrast,FRB4-p1,1217,1217,True
Ta20_5_8,2,211202219,Contrast,INEH-inspired,1217,1217,True
Ta20_5_8,3,211203228,Elite-only,NEH,1223,1223,True
Ta20_5_8,3,211203228,Elite-only,NEH-TBKK2,1215,1215,True
Ta20_5_8,3,211203228,Elite-only,KK2-style-NEH,1237,1237,True
Ta20_5_8,3,211203228,Elite-only,FRB4-p1,1217,1217,True
Ta20_5_8,3,211203228,Elite-only,INEH-inspired,1229,1229,True
Ta20_5_8,3,211203228,Contrast,NEH,1223,1223,True
Ta20_5_8,3,211203228,Contrast,NEH-TBKK2,1215,1215,True
Ta20_5_8,3,211203228,Contrast,KK2-style-NEH,1237,1237,True
Ta20_5_8,3,211203228,Contrast,FRB4-p1,1217,1217,True
Ta20_5_8,3,211203228,Contrast,INEH-inspired,1217,1217,True
Ta20_5_8,4,211204237,Elite-only,NEH,1223,1223,True
